time,x,y,z,vx,vy,vz
2460.0,-6.346184069360088e6,2.326677561824295e6,0.0,-2643.447561478095,-7221.361258510045,0.0
2470.0,-6.372207818665657e6,2.2543151307468023e6,0.0,-2561.246004959731,-7250.969145593402,0.0
2480.0,-6.397407881328004e6,2.181661301596566e6,0.0,-2478.712012733197,-7279.640237562549,0.0
2490.0,-6.421780986460678e6,2.108725461185742e6,0.0,-2395.856286173081,-7307.370782643921,0.0
2500.0,-6.44532397040607e6,2.0355170332304905e6,0.0,-2312.6895694368336,-7334.157151894601,0.0
2510.0,-6.468033777156133e6,1.9620454771201657e6,0.0,-2229.2226480414784,-7359.995839700178,0.0
2520.0,-6.489907458758834e6,1.888320286681612e6,0.0,-2145.466347434314,-7384.883464255804,0.0
2530.0,-6.510942175710288e6,1.8143509889387337e6,0.0,-2061.431531557799,-7408.816768030366,0.0
2540.0,-6.531135197332509e6,1.740147142867507e6,0.0,-1977.1291014088376,-7431.792618213716,0.0
2550.0,-6.55048390213673e6,1.6657183381466046e6,0.0,-1892.5699935926614,-7453.808007146873,0.0
2560.0,-6.568985778172232e6,1.5910741939038055e6,0.0,-1807.7651788715273,-7474.860052735129,0.0
2570.0,-6.586638423360639e6,1.5162243574583568e6,0.0,-1722.7256607084341,-7494.945998843998,0.0
2580.0,-6.6034395458156215e6,1.4411785030594643e6,0.0,-1637.4624738060695,-7514.0632156779375,0.0
2590.0,-6.619386964147971e6,1.3659463306210816e6,0.0,-1551.9866826411996,-7532.20920014179,0.0
2600.0,-6.6344786077559935e6,1.2905375644531709e6,0.0,-1466.3093799947135,-7549.381576184867,0.0
2610.0,-6.648712517101185e6,1.2149619519896102e6,0.0,-1380.4416854775345,-7565.578095127653,0.0
2620.0,-6.662086843969145e6,1.1392292625129214e6,0.0,-1294.3947440526133,-7580.796635971032,0.0
2630.0,-6.674599851715688e6,1.0633492858759922e6,0.0,-1208.179724553216,-7595.035205688029,0.0
2640.0,-6.686249915498126e6,987331.8312209698,0.0,-1121.8078181977244,-7608.2919394979945,0.0
2650.0,-6.697035522491682e6,911186.7256954999,0.0,-1035.290237101163,-7620.5651011231885,0.0
2660.0,-6.706955272090998e6,834923.8131664881,0.0,-948.638212783669,-7631.853083027734,0.0
2670.0,-6.716007876096714e6,758552.9529315599,0.0,-861.8629946761239,-7642.154406638891,0.0
2680.0,-6.724192158887102e6,682084.0184283971,0.0,-774.9758486231638,-7651.467722550616,0.0
2690.0,-6.7315070575747e6,605526.8959421269,0.0,-687.9880553837856,-7659.791810709381,0.0
2700.0,-6.737951622147949e6,528891.4833109413,0.0,-600.9109091297705,-7667.125580582213,0.0
2710.0,-6.743525015597813e6,452187.688630126,0.0,-513.7557159421395,-7673.468071306928,0.0
2720.0,-6.748226514029337e6,375425.4289546756,0.0,-426.53379230586575,-7678.818451824546,0.0
2730.0,-6.75205550675816e6,298614.6290006736,0.0,-339.256463603059,-7683.176020993844,0.0
2740.0,-6.755011496391943e6,221765.21984561655,0.0,-251.93506260484526,-7686.54020768805,0.0
2750.0,-6.757094098896716e6,144887.1376278607,0.0,-164.5809279621603,-7688.910570873652,0.0
2760.0,-6.758303043648126e6,67990.3222453699,0.0,-77.2054026956788,-7690.286799671305,0.0
2770.0,-6.75863817346758e6,-8915.283946056079,0.0,10.180167314901041,-7690.668713398833,0.0
2780.0,-6.758099444643282e6,-85819.73743489353,0.0,97.56443484199585,-7690.056261596321,0.0
2790.0,-6.756686926936154e6,-162713.09485616823,0.0,184.93605282147774,-7688.449524033284,0.0
2800.0,-6.754400803570643e6,-239585.41429371096,0.0,272.28367586399605,-7685.848710697917,0.0
2810.0,-6.751241371210421e6,-316426.7565822159,0.0,359.5959617660595,-7682.2541617684265,0.0
2820.0,-6.747209039918971e6,-393227.1866089226,0.0,446.8615730206572,-7677.66634756645,0.0
2830.0,-6.7423043331050705e6,-469976.7746147431,0.0,534.0691783271984,-7672.0858684925715,0.0
2840.0,-6.736527887453184e6,-546665.5974946539,0.0,621.2074541005493,-7665.513454943936,0.0
